date,region,state,city,category,sub_category,product,segment,customer_id,channel,sales,quantity,discount,profit
2016-01-09,Central,Texas,Laredo,Office Supplies,Art,Newell 312,Consumer,MS-17830,Standard Class,9.344,2,0.2,1.168
2016-01-09,Central,Texas,Laredo,Technology,Accessories,Memorex Micro Travel Drive 8 GB,Consumer,MS-17830,Standard Class,31.2,3,0.2,9.75
2016-01-10,South,Virginia,Springfield,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Corporate,AJ-10780,Standard Class,51.94,1,0.0,21.2954
2016-01-10,South,Virginia,Springfield,Office Supplies,Labels,Avery 482,Corporate,AJ-10780,Standard Class,2.89,1,0.0,1.3583
2016-01-11,East,Delaware,Dover,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",Consumer,SV-20365,First Class,9.94,2,0.0,3.0814
2016-01-13,South,Louisiana,Bossier City,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,Corporate,CS-12250,Second Class,572.58,6,0.0,34.3548
2016-01-13,South,Louisiana,Bossier City,Office Supplies,Binders,3-ring staple pack,Corporate,CS-12250,Second Class,5.64,3,0.0,2.7072
2016-01-13,West,California,San Francisco,Office Supplies,Art,4009 Highlighters by Sanford,Consumer,BD-11605,Standard Class,19.9,5,0.0,6.567
2016-01-13,East,Ohio,Newark,Office Supplies,Binders,Avery Metallic Poly Binders,Consumer,MM-17920,Standard Class,3.438,2,0.7,-2.5212
2016-01-13,West,California,San Francisco,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,Consumer,BD-11605,Standard Class,1325.85,5,0.0,238.653
2016-01-13,East,Ohio,Newark,Office Supplies,Paper,Xerox 1923,Consumer,MM-17920,Standard Class,37.408,7,0.2,13.0928
2016-01-13,South,Louisiana,Bossier City,Office Supplies,Envelopes,Staple envelope,Corporate,CS-12250,Second Class,11.36,2,0.0,5.3392
2016-01-13,South,South Carolina,Mount Pleasant,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,Consumer,ND-18370,Second Class,545.94,6,0.0,87.3504
2016-01-13,West,California,San Francisco,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",Consumer,BD-11605,Standard Class,333.999,3,0.15,3.9294
2016-01-13,South,Louisiana,Bossier City,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,Corporate,CS-12250,Second Class,50.94,3,0.0,25.47
2016-01-13,South,Louisiana,Bossier City,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,Corporate,CS-12250,Second Class,646.74,6,0.0,258.696
2016-01-14,East,Pennsylvania,Philadelphia,Furniture,Bookcases,Sauder Cornerstone Collection Library,Corporate,BS-11590,First Class,61.96,4,0.5,-53.2856
2016-01-15,South,Georgia,Roswell,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Consumer,EH-13990,First Class,149.95,5,0.0,65.978
2016-01-16,East,Pennsylvania,Philadelphia,Office Supplies,Labels,Round Specialty Laser Printer Labels,Consumer,DL-13315,Second Class,30.072,3,0.2,10.1493
2016-01-16,East,Pennsylvania,Philadelphia,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,Consumer,DL-13315,Second Class,127.104,6,0.2,28.5984
2016-01-16,East,Pennsylvania,Philadelphia,Technology,Phones,AT&T 841000 Phone,Consumer,DL-13315,Second Class,124.2,3,0.4,-31.05
2016-01-16,East,Pennsylvania,Philadelphia,Office Supplies,Binders,GBC Linen Binding Covers,Consumer,DL-13315,Second Class,18.588,2,0.7,-13.6312
2016-01-18,West,Oregon,Springfield,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,Corporate,DW-13195,Second Class,64.864,4,0.2,6.4864
2016-01-19,West,Arizona,Scottsdale,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Consumer,TS-21340,First Class,32.34,10,0.7,-23.716
2016-01-19,West,Arizona,Scottsdale,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Consumer,TS-21340,First Class,56.064,4,0.2,19.6224
2016-01-19,West,Arizona,Scottsdale,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Consumer,TS-21340,First Class,108.72,5,0.2,36.693
2016-01-19,West,Arizona,Scottsdale,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Consumer,TS-21340,First Class,181.47,5,0.7,-320.597
2016-01-20,Central,Michigan,Westland,Furniture,Furnishings,Ultra Door Push Plate,Consumer,XP-21865,Standard Class,14.73,3,0.0,4.8609
2016-01-20,Central,Michigan,Westland,Office Supplies,Binders,Storex Dura Pro Binders,Consumer,XP-21865,Standard Class,29.7,5,0.0,13.365
2016-01-20,West,California,Los Angeles,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",Consumer,MV-17485,Standard Class,19.36,2,0.0,9.2928
2016-01-20,South,Tennessee,Smyrna,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,Corporate,MM-18280,Standard Class,67.194,1,0.7,-51.5154
2016-01-20,Central,Michigan,Westland,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Consumer,XP-21865,Standard Class,43.92,3,0.0,12.7368
2016-01-20,South,Arkansas,Jonesboro,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,HL-15040,Standard Class,38.6,4,0.0,11.58
2016-01-20,South,Arkansas,Jonesboro,Office Supplies,Art,Newell 327,Consumer,HL-15040,Standard Class,6.63,3,0.0,1.7901
2016-01-20,Central,Michigan,Westland,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Consumer,XP-21865,Standard Class,66.58,2,0.0,15.9792
2016-01-20,South,Arkansas,Jonesboro,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Consumer,HL-15040,Standard Class,1067.94,3,0.0,224.2674
2016-01-20,Central,Michigan,Westland,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Consumer,XP-21865,Standard Class,19.05,5,0.0,8.9535
2016-01-20,Central,Michigan,Westland,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Consumer,XP-21865,Standard Class,272.94,3,0.0,30.0234
2016-01-20,Central,Michigan,Westland,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,Consumer,XP-21865,Standard Class,13.98,1,0.0,4.0542
2016-01-20,South,Arkansas,Jonesboro,Office Supplies,Envelopes,Staple envelope,Consumer,HL-15040,Standard Class,23.34,3,0.0,10.9698
2016-01-20,South,Arkansas,Jonesboro,Office Supplies,Art,Newell 351,Consumer,HL-15040,Standard Class,22.96,7,0.0,6.6584
2016-01-20,West,California,Los Angeles,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,MV-17485,Standard Class,19.3,2,0.0,5.79
2016-01-20,Central,Michigan,Westland,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Consumer,XP-21865,Standard Class,247.716,4,0.1,93.5816
2016-01-20,South,Arkansas,Jonesboro,Technology,Phones,Apple iPhone 5C,Consumer,HL-15040,Standard Class,699.93,7,0.0,181.9818
2016-01-21,South,Florida,Miami,Furniture,Furnishings,Ultra Door Pull Handle,Consumer,TB-21400,Second Class,25.248,3,0.2,4.1028
2016-01-23,Central,Indiana,Lafayette,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",Consumer,SG-20605,Standard Class,5.94,3,0.0,0.0
2016-01-23,West,Nevada,Las Vegas,Office Supplies,Paper,Xerox 195,Consumer,IM-15055,Standard Class,40.08,6,0.0,19.2384
2016-01-26,South,Virginia,Alexandria,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Home Office,SD-20485,Standard Class,16.68,2,0.0,8.34
2016-01-26,Central,South Dakota,Rapid City,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Corporate,CA-11965,First Class,141.96,2,0.0,39.7488
2016-01-26,South,Virginia,Alexandria,Technology,Phones,Jabra SPEAK 410,Home Office,SD-20485,Standard Class,187.98,2,0.0,52.6344
2016-01-26,South,Virginia,Alexandria,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,Home Office,SD-20485,Standard Class,12.42,3,0.0,4.4712
2016-01-26,South,Virginia,Alexandria,Technology,Phones,Macally Suction Cup Mount,Home Office,SD-20485,Standard Class,155.35,13,0.0,0.0
2016-01-26,South,Virginia,Alexandria,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Home Office,SD-20485,Standard Class,19.44,3,0.0,9.3312
2016-01-26,South,Virginia,Alexandria,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",Home Office,SD-20485,Standard Class,489.92,8,0.0,0.0
2016-01-26,South,Virginia,Alexandria,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Home Office,SD-20485,Standard Class,62.82,3,0.0,30.7818
2016-01-26,Central,South Dakota,Rapid City,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Corporate,CA-11965,First Class,10.68,2,0.0,5.0196
2016-01-27,West,California,San Diego,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,Consumer,EJ-13720,Standard Class,57.23,1,0.0,14.3075
2016-01-27,West,California,San Diego,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,Consumer,EJ-13720,Standard Class,36.44,4,0.0,12.0252
2016-01-27,West,California,San Diego,Furniture,Tables,Balt Split Level Computer Training Table,Consumer,EJ-13720,Standard Class,333.0,3,0.2,-16.65
2016-01-28,East,New York,New York City,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Consumer,JC-15340,Standard Class,3.928,1,0.2,1.3257
2016-01-30,Central,Michigan,Detroit,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,Consumer,MV-18190,Standard Class,229.94,2,0.0,6.8982
2016-01-30,Central,Michigan,Detroit,Office Supplies,Paper,Xerox 1972,Consumer,MV-18190,Standard Class,10.56,2,0.0,4.752
2016-01-31,West,California,Mission Viejo,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",Consumer,LC-17050,First Class,290.666,2,0.15,3.4196
2016-02-01,Central,Wisconsin,Green Bay,Technology,Accessories,Enermax Aurora Lite Keyboard,Consumer,BD-11500,First Class,468.9,6,0.0,206.316
2016-02-02,South,Florida,Saint Petersburg,Office Supplies,Binders,Surelock Post Binders,Consumer,EB-13930,Standard Class,18.336,2,0.7,-12.224
2016-02-02,South,Florida,Saint Petersburg,Technology,Phones,AT&T 17929 Lendline Telephone,Consumer,EB-13930,Standard Class,180.96,5,0.2,13.572
2016-02-02,West,California,San Diego,Office Supplies,Fasteners,Staples,Home Office,CD-12790,Standard Class,12.35,5,0.0,5.8045
2016-02-03,West,Washington,Seattle,Office Supplies,Binders,Avery Durable Poly Binders,Consumer,TB-21400,Second Class,13.272,3,0.2,4.3134
2016-02-03,West,Washington,Seattle,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,Consumer,TB-21400,Second Class,83.84,2,0.2,27.248
2016-02-04,West,California,San Diego,Office Supplies,Binders,GBC Recycled Grain Textured Covers,Home Office,DB-13270,Standard Class,82.896,3,0.2,29.0136
2016-02-04,West,California,San Diego,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Home Office,DB-13270,Standard Class,34.24,4,0.0,16.0928
2016-02-04,West,California,Escondido,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Corporate,MH-17440,Second Class,17.248,2,0.2,6.0368
2016-02-06,South,Virginia,Chesapeake,Technology,Phones,AT&T CL82213,Corporate,ND-18460,First Class,144.95,5,0.0,42.0355
2016-02-06,South,Virginia,Chesapeake,Technology,Phones,Aastra 57i VoIP phone,Corporate,ND-18460,First Class,161.61,1,0.0,42.0186
2016-02-06,South,Virginia,Chesapeake,Office Supplies,Labels,Avery 480,Corporate,ND-18460,First Class,15.0,4,0.0,7.2
2016-02-06,Central,Illinois,Romeoville,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",Consumer,DL-13315,Second Class,8.952,2,0.8,-14.7708
2016-02-07,East,New Jersey,Linden,Technology,Accessories,Maxell DVD-RAM Discs,Corporate,CK-12760,Standard Class,115.36,7,0.0,49.6048
2016-02-07,East,New York,New York City,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,Corporate,CS-12250,Second Class,64.96,4,0.0,9.744
2016-02-08,West,Nevada,North Las Vegas,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",Home Office,NM-18445,First Class,14.56,2,0.0,5.5328
2016-02-11,Central,Missouri,Columbia,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,Consumer,GA-14725,Second Class,64.96,2,0.0,2.5984
2016-02-11,Central,Missouri,Columbia,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",Consumer,GA-14725,Second Class,60.89,1,0.0,15.2225
2016-02-11,Central,Missouri,Columbia,Office Supplies,Labels,Avery 483,Consumer,GA-14725,Second Class,14.94,3,0.0,6.8724
2016-02-11,Central,Missouri,Columbia,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Consumer,GA-14725,Second Class,9.64,2,0.0,4.4344
2016-02-11,Central,Missouri,Columbia,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree A",Consumer,GA-14725,Second Class,332.94,3,0.0,53.2704
2016-02-11,South,Virginia,Chesapeake,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,Consumer,NF-18385,Standard Class,17.46,2,0.0,8.2062
2016-02-11,Central,Missouri,Columbia,Office Supplies,Binders,VariCap6 Expandable Binder,Consumer,GA-14725,Second Class,51.9,3,0.0,24.393
2016-02-11,South,Virginia,Chesapeake,Furniture,Tables,Hon 2111 Invitation Series Corner Table,Consumer,NF-18385,Standard Class,1256.22,6,0.0,75.3732
2016-02-11,South,Virginia,Chesapeake,Technology,Accessories,Enermax Aurora Lite Keyboard,Consumer,NF-18385,Standard Class,234.45,3,0.0,103.158
2016-02-12,West,California,Concord,Furniture,Chairs,"Global Geo Office Task Chair, Gray",Consumer,SC-20095,Standard Class,129.568,2,0.2,-24.294
2016-02-14,West,Washington,Seattle,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,Corporate,ML-17395,Standard Class,238.62,2,0.0,4.7724
2016-02-14,West,Washington,Seattle,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,Corporate,ML-17395,Standard Class,81.96,2,0.0,22.9488
2016-02-14,West,Washington,Seattle,Technology,Accessories,Logitech G600 MMO Gaming Mouse,Corporate,ML-17395,Standard Class,239.97,3,0.0,86.3892
2016-02-14,Central,Texas,Houston,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Consumer,ST-20530,Second Class,16.176,3,0.2,6.066
2016-02-15,West,Washington,Seattle,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,Corporate,BF-11020,Standard Class,21.36,5,0.2,7.209
2016-02-16,Central,Texas,Dallas,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,Consumer,MN-17935,Standard Class,1.08,3,0.8,-1.728
2016-02-16,Central,Texas,Dallas,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Ex",Consumer,MN-17935,Standard Class,7.96,2,0.8,-13.93
2016-02-17,Central,Illinois,Chicago,Office Supplies,Art,Staples in misc. colors,Consumer,DL-13315,Standard Class,54.208,14,0.2,8.8088
2016-02-18,Central,Texas,Arlington,Office Supplies,Storage,Akro Stacking Bins,Consumer,AB-10015,Standard Class,12.624,2,0.2,-2.5248
2016-02-18,Central,Texas,Lubbock,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",Consumer,TB-21595,Same Day,25.16,5,0.6,-11.322
2016-02-20,Central,Indiana,Richmond,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Corporate,LC-16930,Standard Class,62.31,3,0.0,22.4316
2016-02-20,Central,Indiana,Richmond,Furniture,Furnishings,"Master Caster Door Stop, Brown",Corporate,LC-16930,Standard Class,20.32,4,0.0,6.9088
2016-02-20,West,California,Los Angeles,Office Supplies,Paper,Xerox 204,Home Office,SR-20740,Standard Class,12.96,2,0.0,6.2208
2016-02-21,Central,Illinois,Woodstock,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,Consumer,TM-21010,Standard Class,8.85,5,0.8,-13.7175
2016-02-22,West,California,Moreno Valley,Office Supplies,Paper,Xerox 220,Consumer,SA-20830,First Class,19.44,3,0.0,9.3312
2016-02-23,Central,Texas,El Paso,Office Supplies,Labels,Staple-on labels,Home Office,MG-17875,Standard Class,6.936,3,0.2,2.3409
2016-02-23,Central,Texas,El Paso,Office Supplies,Binders,GBC Plastic Binding Combs,Home Office,MG-17875,Standard Class,4.428,3,0.8,-6.8634
2016-02-24,West,Oregon,Medford,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Consumer,JH-15430,Standard Class,32.896,4,0.2,11.1024
2016-02-24,West,Oregon,Medford,Office Supplies,Paper,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",Consumer,JH-15430,Standard Class,22.776,3,0.2,7.6869
2016-02-27,East,Ohio,Columbus,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,Consumer,JS-16030,First Class,19.456,4,0.2,3.4048
2016-03-01,Central,Illinois,Elmhurst,Furniture,Chairs,Novimex Swivel Fabric Task Chair,Home Office,VF-21715,Standard Class,634.116,6,0.3,-172.1172
2016-03-01,West,Washington,Seattle,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,Consumer,DB-13060,Second Class,457.568,2,0.2,51.4764
2016-03-01,Central,Texas,El Paso,Furniture,Chairs,Harbour Creations Steel Folding Chair,Consumer,SC-20380,Standard Class,362.25,6,0.3,0.0
2016-03-01,Central,Texas,El Paso,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,Consumer,SC-20380,Standard Class,18.84,5,0.2,-3.5325
2016-03-01,East,New York,New York City,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,Home Office,HR-14770,Standard Class,5.94,3,0.0,1.6038
2016-03-01,Central,Texas,Houston,Furniture,Tables,Bevis Round Conference Room Tables and Bases,Consumer,GW-14605,Standard Class,376.509,3,0.3,-43.0296
2016-03-01,Central,Texas,Houston,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,Consumer,GW-14605,Standard Class,137.352,3,0.2,8.5845
2016-03-01,Central,Texas,El Paso,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,Consumer,SC-20380,Standard Class,129.552,3,0.2,-22.6716
2016-03-01,Central,Illinois,Elmhurst,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Home Office,VF-21715,Standard Class,17.472,3,0.2,5.6784
2016-03-01,Central,Texas,El Paso,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,Consumer,SC-20380,Standard Class,63.552,6,0.6,-34.9536
2016-03-02,East,New York,New York City,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",Home Office,KN-16705,Standard Class,36.4,5,0.0,17.472
2016-03-02,East,New York,New York City,Office Supplies,Envelopes,Staple envelope,Home Office,KN-16705,Standard Class,11.36,2,0.0,5.3392
2016-03-02,East,Pennsylvania,Philadelphia,Technology,Accessories,Hypercom P1300 Pinpad,Corporate,NH-18610,Standard Class,151.2,3,0.2,32.13
2016-03-02,East,Pennsylvania,Philadelphia,Office Supplies,Paper,Xerox 1971,Corporate,NH-18610,Standard Class,3.424,1,0.2,1.07
2016-03-03,South,North Carolina,Wilmington,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,Consumer,AJ-10945,Second Class,19.456,4,0.2,3.4048
2016-03-03,East,Ohio,Columbus,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Corporate,JS-15595,Standard Class,302.45,5,0.5,-199.617
2016-03-03,Central,Texas,Houston,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,Consumer,SC-20020,Standard Class,176.772,3,0.8,-459.6072
2016-03-03,West,California,San Diego,Furniture,Tables,"Bevis Oval Conference Table, Walnut",Consumer,EJ-14155,Standard Class,626.352,3,0.2,-23.4882
2016-03-03,East,New York,New York City,Technology,Phones,PowerGen Dual USB Car Charger,Home Office,AP-10720,Standard Class,9.99,1,0.0,4.5954
2016-03-03,East,New York,New York City,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,Home Office,AP-10720,Standard Class,125.76,3,0.2,40.872
2016-03-03,East,Ohio,Columbus,Office Supplies,Labels,Avery 495,Corporate,JS-15595,Standard Class,15.12,3,0.2,4.914
2016-03-03,East,Ohio,Columbus,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,Corporate,JS-15595,Standard Class,44.672,8,0.2,-10.0512
2016-03-03,East,New York,New York City,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Home Office,AP-10720,Standard Class,25.32,5,0.2,9.1785
2016-03-04,South,Florida,Margate,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",Consumer,SC-20095,Standard Class,15.552,3,0.2,2.3328
2016-03-04,South,South Carolina,Columbia,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,Consumer,CL-12565,Same Day,354.9,5,0.0,17.745
2016-03-05,East,New York,Yonkers,Office Supplies,Paper,Xerox 1891,Consumer,AB-10150,Second Class,97.82,2,0.0,45.9754
2016-03-05,East,New York,Yonkers,Office Supplies,Art,Newell 345,Consumer,AB-10150,Second Class,59.52,3,0.0,15.4752
2016-03-05,East,New York,Yonkers,Technology,Accessories,Logitech Wireless Gaming Headset G930,Consumer,AB-10150,Second Class,479.97,3,0.0,177.5889
2016-03-05,East,New York,Yonkers,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,Consumer,AB-10150,Second Class,18.62,2,0.0,5.3998
2016-03-05,East,New York,Yonkers,Office Supplies,Binders,GBC Wire Binding Combs,Consumer,AB-10150,Second Class,49.632,6,0.2,16.7508
2016-03-07,West,Washington,Seattle,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",Corporate,CM-12715,Standard Class,481.568,2,0.2,54.1764
2016-03-07,West,Washington,Seattle,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,Corporate,CM-12715,Standard Class,436.704,6,0.2,21.8352
2016-03-07,West,Washington,Seattle,Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System",Corporate,CM-12715,Standard Class,204.9,5,0.0,0.0
2016-03-07,West,Washington,Seattle,Office Supplies,Art,Newell Chalk Holder,Corporate,CM-12715,Standard Class,20.65,5,0.0,9.499
2016-03-07,West,Washington,Seattle,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",Consumer,AB-10015,First Class,48.712,1,0.2,5.4801
2016-03-07,West,Washington,Des Moines,Office Supplies,Binders,Catalog Binders with Expanding Posts,Home Office,NP-18685,Second Class,107.648,2,0.2,33.64
2016-03-07,West,Washington,Seattle,Office Supplies,Art,Newell 330,Consumer,AB-10015,First Class,17.94,3,0.0,4.6644
2016-03-07,West,Washington,Seattle,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",Consumer,AB-10015,First Class,242.94,3,0.0,4.8588
2016-03-10,West,Colorado,Denver,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",Consumer,KT-16480,Standard Class,83.168,4,0.2,9.3564
2016-03-10,West,Colorado,Denver,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,Consumer,KT-16480,Standard Class,636.408,3,0.2,-15.9102
2016-03-10,Central,Michigan,Royal Oak,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",Consumer,SW-20275,Standard Class,22.38,2,0.0,10.7424
2016-03-11,West,California,Roseville,Office Supplies,Art,Economy #2 Pencils,Consumer,RB-19435,Standard Class,7.98,3,0.0,2.0748
2016-03-11,South,Kentucky,Richmond,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Corporate,FM-14215,Second Class,146.76,3,0.0,38.1576
